# alpha, P(alpha), avg_acceptance
1.000000000000000062e-09,6.206433670144095493e-06,0.000000000000000000e+00
1.525222956539019846e-09,2.468868759549066802e-05,0.000000000000000000e+00
2.326305067153628668e-09,9.719239435774142263e-05,0.000000000000000000e+00
3.548133892335760342e-09,3.686928531583444271e-04,0.000000000000000000e+00
5.411695265464626664e-09,1.383833564440250076e-03,0.000000000000000000e+00
8.254041852680172652e-09,4.904202669843815698e-03,0.000000000000000000e+00
1.258925411794166101e-08,1.575146794631530553e-02,0.000000000000000000e+00
1.920141938638801083e-08,4.859045810647902308e-02,0.000000000000000000e+00
2.928644564625237447e-08,1.380624036218164319e-01,1.000000000000000000e+00
4.466835921509634599e-08,3.335388331352623914e-01,1.000000000000000000e+00
6.812920690579607663e-08,6.664812770291017596e-01,1.000000000000000000e+00
1.039122303835169026e-07,1.000000000000000000e+00,1.000000000000000000e+00
1.584893192461110904e-07,9.642623942235679646e-01,1.000000000000000000e+00
2.417315480804101464e-07,4.782658569960621109e-01,1.000000000000000000e+00
3.686945064519573403e-07,8.723509648687738371e-02,0.000000000000000000e+00
5.623413251903490361e-07,3.560394953762261588e-03,0.000000000000000000e+00
8.576958985908945317e-07,1.543300171871783921e-05,0.000000000000000000e+00
1.308177474260192905e-06,2.298036459733075440e-09,0.000000000000000000e+00
1.995262314968878707e-06,2.034380657693444487e-15,0.000000000000000000e+00
3.043219887107716091e-06,6.481118729532530274e-25,0.000000000000000000e+00
4.641588833612772641e-06,1.100490491419392186e-39,0.000000000000000000e+00
7.079457843841373294e-06,1.081187400574094872e-62,0.000000000000000000e+00
1.079775162327709300e-05,1.124560368914792937e-98,0.000000000000000000e+00
1.646897865482868713e-05,2.564223200101745099e-155,0.000000000000000000e+00
2.511886431509577106e-05,3.883000695953990764e-245,0.000000000000000000e+00
3.831186849557284888e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.843414133735175123e-05,0.000000000000000000e+00,0.000000000000000000e+00
8.912509381337441162e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.359356390878524142e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.073321573485954023e-04,0.000000000000000000e+00,0.000000000000000000e+00
3.162277660168379394e-04,0.000000000000000000e+00,0.000000000000000000e+00
4.823178482239299071e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.356422544596406430e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.122018454301963036e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.711328304161777603e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.610157215682533133e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.981071705534969078e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.072021956909884159e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.261187281287918890e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.412537544622752619e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.154434690031882191e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.285993247600647177e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.011872336272714390e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.644222742525993985e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.165914401179831139e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.778279410038922925e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.712272579332029587e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.136820402388494688e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.309573444801916953e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.623506263980867725e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.467799267622067472e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.238721138568337654e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.414548873833600506e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.207948328595464638e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.943282347242789143e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.211527658628585158e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.847849797422286855e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.818382931264449098e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.298662347082272106e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.556418494179784773e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
