# alpha, P(alpha), avg_acceptance
1.000000000000000062e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.525222956539019846e-09,0.000000000000000000e+00,0.000000000000000000e+00
2.326305067153628668e-09,0.000000000000000000e+00,0.000000000000000000e+00
3.548133892335760342e-09,6.128713651949629469e-28,0.000000000000000000e+00
5.411695265464626664e-09,1.087649355063917720e-26,0.000000000000000000e+00
8.254041852680172652e-09,1.502214643395613527e-25,0.000000000000000000e+00
1.258925411794166101e-08,1.004331346482336549e-24,0.000000000000000000e+00
1.920141938638801083e-08,1.789710322599953726e-23,0.000000000000000000e+00
2.928644564625237447e-08,1.545385420987635912e-22,0.000000000000000000e+00
4.466835921509634599e-08,1.698737943461936433e-21,0.000000000000000000e+00
6.812920690579607663e-08,1.972106784850036567e-20,0.000000000000000000e+00
1.039122303835169026e-07,2.147481228112596573e-19,0.000000000000000000e+00
1.584893192461110904e-07,2.325710575280250998e-18,0.000000000000000000e+00
2.417315480804101464e-07,2.525616252441854558e-17,0.000000000000000000e+00
3.686945064519573403e-07,2.697882621517521361e-16,0.000000000000000000e+00
5.623413251903490361e-07,2.838302206194587835e-15,0.000000000000000000e+00
8.576958985908945317e-07,2.873914270825942311e-14,0.000000000000000000e+00
1.308177474260192905e-06,2.737414630657844091e-13,0.000000000000000000e+00
1.995262314968878707e-06,2.418823126871911921e-12,0.000000000000000000e+00
3.043219887107716091e-06,1.969616684687147637e-11,0.000000000000000000e+00
4.641588833612772641e-06,1.478723361218366280e-10,0.000000000000000000e+00
7.079457843841373294e-06,1.027036079697986756e-09,0.000000000000000000e+00
1.079775162327709300e-05,6.623854802527672369e-09,0.000000000000000000e+00
1.646897865482868713e-05,3.976347321952713566e-08,0.000000000000000000e+00
2.511886431509577106e-05,2.226277817423651651e-07,0.000000000000000000e+00
3.831186849557284888e-05,1.166401720920329098e-06,0.000000000000000000e+00
5.843414133735175123e-05,5.752059150045751424e-06,0.000000000000000000e+00
8.912509381337441162e-05,2.690885059043711188e-05,0.000000000000000000e+00
1.359356390878524142e-04,1.203033511452452763e-04,0.000000000000000000e+00
2.073321573485954023e-04,5.157502572175630450e-04,0.000000000000000000e+00
3.162277660168379394e-04,2.112862751259001262e-03,0.000000000000000000e+00
4.823178482239299071e-04,8.174311726025562663e-03,0.000000000000000000e+00
7.356422544596406430e-04,2.925191051326387140e-02,0.000000000000000000e+00
1.122018454301963036e-03,9.387523859883727118e-02,0.000000000000000000e+00
1.711328304161777603e-03,2.585910945991226062e-01,1.000000000000000000e+00
2.610157215682533133e-03,5.747166423357162879e-01,1.000000000000000000e+00
3.981071705534969078e-03,9.426224665034013128e-01,1.000000000000000000e+00
6.072021956909884159e-03,1.000000000000000000e+00,1.000000000000000000e+00
9.261187281287918890e-03,5.624360993099966066e-01,1.000000000000000000e+00
1.412537544622752619e-02,1.239505458746261862e-01,1.000000000000000000e+00
2.154434690031882191e-02,6.760583139416425150e-03,0.000000000000000000e+00
3.285993247600647177e-02,4.545482734670900770e-05,0.000000000000000000e+00
5.011872336272714390e-02,1.306964406751323379e-08,0.000000000000000000e+00
7.644222742525993985e-02,3.200521673507100816e-14,0.000000000000000000e+00
1.165914401179831139e-01,5.665993153558061751e-23,0.000000000000000000e+00
1.778279410038922925e-01,1.668647276324141484e-36,0.000000000000000000e+00
2.712272579332029587e-01,2.569516169232135577e-57,0.000000000000000000e+00
4.136820402388494688e-01,3.133627384461838185e-89,0.000000000000000000e+00
6.309573444801916953e-01,4.509876774767234602e-138,0.000000000000000000e+00
9.623506263980867725e-01,9.932324268733584898e-213,0.000000000000000000e+00
1.467799267622067472e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.238721138568337654e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.414548873833600506e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.207948328595464638e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.943282347242789143e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.211527658628585158e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.847849797422286855e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.818382931264449098e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.298662347082272106e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.556418494179784773e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
