# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,2.868469676288577341e-04,0.000000000000000000e+00
1.920141938638801224e-14,2.868469555816226171e-04,0.000000000000000000e+00
3.686945064519573717e-14,2.868469324999691665e-04,0.000000000000000000e+00
7.079457843841372988e-14,2.868468882150138522e-04,0.000000000000000000e+00
1.359356390878524054e-13,2.868877826461699245e-04,0.000000000000000000e+00
2.610157215682533043e-13,2.868228738506429414e-04,0.000000000000000000e+00
5.011872336272714655e-13,2.868226130349778693e-04,0.000000000000000000e+00
9.623506263980907267e-13,2.868687345634257299e-04,0.000000000000000000e+00
1.847849797422287039e-12,2.868211808024459151e-04,0.000000000000000000e+00
3.548133892335760435e-12,2.868864209834729394e-04,0.000000000000000000e+00
6.812920690579594235e-12,2.868163758472109517e-04,0.000000000000000000e+00
1.308177474260195532e-11,2.868145494491604677e-04,0.000000000000000000e+00
2.511886431509582315e-11,2.868515697726582215e-04,0.000000000000000000e+00
4.823178482239309168e-11,2.869194722982669108e-04,0.000000000000000000e+00
9.261187281287936942e-11,2.873455535679384984e-04,0.000000000000000000e+00
1.778279410038922873e-10,2.873814999622474023e-04,0.000000000000000000e+00
3.414548873833600905e-10,2.874928866940618479e-04,0.000000000000000000e+00
6.556418494179785494e-10,2.888441037941113414e-04,0.000000000000000000e+00
1.258925411794166266e-09,2.913229537881493179e-04,0.000000000000000000e+00
2.417315480804101249e-09,2.978772034205142056e-04,0.000000000000000000e+00
4.641588833612772800e-09,3.143783496185140755e-04,0.000000000000000000e+00
8.912509381337441445e-09,3.348091973913915748e-04,0.000000000000000000e+00
1.711328304161780911e-08,3.676273338007527000e-04,0.000000000000000000e+00
3.285993247600653884e-08,4.102100652574354055e-04,0.000000000000000000e+00
6.309573444801929638e-08,4.921760513515303264e-04,0.000000000000000000e+00
1.211527658628587727e-07,7.283825881466156858e-04,0.000000000000000000e+00
2.326305067153623854e-07,1.493358537116270049e-03,0.000000000000000000e+00
4.466835921509625864e-07,3.820502407305185165e-03,0.000000000000000000e+00
8.576958985908945317e-07,1.019960515319343758e-02,0.000000000000000000e+00
1.646897865482868967e-06,2.502914132516873350e-02,0.000000000000000000e+00
3.162277660168379191e-06,5.260037534464916814e-02,0.000000000000000000e+00
6.072021956909883719e-06,9.394287710462990992e-02,0.000000000000000000e+00
1.165914401179831032e-05,1.469538585729557034e-01,0.000000000000000000e+00
2.238721138568337924e-05,2.126062356113238017e-01,0.000000000000000000e+00
4.298662347082272397e-05,3.005076654473337050e-01,0.000000000000000000e+00
8.254041852680173586e-05,4.163662179718115031e-01,0.000000000000000000e+00
1.584893192461110938e-04,5.466890144576028732e-01,0.000000000000000000e+00
3.043219887107715955e-04,6.660351823633721136e-01,0.000000000000000000e+00
5.843414133735163468e-04,7.506057816205327082e-01,0.000000000000000000e+00
1.122018454301960651e-03,8.058960877348234630e-01,0.000000000000000000e+00
2.154434690031877767e-03,8.398054592104855498e-01,0.000000000000000000e+00
4.136820402388511654e-03,8.594607028462780685e-01,0.000000000000000000e+00
7.943282347242820729e-03,8.703783992284228610e-01,0.000000000000000000e+00
1.525222956539019729e-02,8.762751913076973764e-01,0.000000000000000000e+00
2.928644564625237229e-02,8.794065211339179289e-01,0.000000000000000000e+00
5.623413251903490451e-02,8.810548002438267634e-01,0.000000000000000000e+00
1.079775162327709370e-01,8.819179481853512970e-01,0.000000000000000000e+00
2.073321573485953917e-01,8.823688387577237613e-01,0.000000000000000000e+00
3.981071705534969252e-01,8.826041578284036238e-01,0.000000000000000000e+00
7.644222742525994541e-01,8.827266602601084866e-01,0.000000000000000000e+00
1.467799267622067472e+00,8.827904958236578725e-01,0.000000000000000000e+00
2.818382931264449276e+00,8.828237388348142423e-01,0.000000000000000000e+00
5.411695265464626203e+00,8.828410669074402417e-01,0.000000000000000000e+00
1.039122303835166861e+01,8.828500950895026289e-01,0.000000000000000000e+00
1.995262314968874762e+01,8.828547926069355567e-01,0.000000000000000000e+00
3.831186849557277441e+01,8.828572385933340927e-01,0.000000000000000000e+00
7.356422544596421176e+01,8.828585085274005539e-01,0.000000000000000000e+00
1.412537544622749692e+02,8.828591719909559821e-01,0.000000000000000000e+00
2.712272579332029636e+02,8.828595164922000693e-01,0.000000000000000000e+00
5.207948328595443854e+02,8.828596963884622895e-01,0.000000000000000000e+00
1.000000000000000000e+03,8.828597900936938636e-01,0.000000000000000000e+00
