# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.712361908622126507e-06,0.000000000000000000e+00
1.920141938638801224e-14,4.712361907820482667e-06,0.000000000000000000e+00
3.686945064519573717e-14,4.712361906281382298e-06,0.000000000000000000e+00
7.079457843841372988e-14,4.712361903325532079e-06,0.000000000000000000e+00
1.359356390878524054e-13,4.712361897650240232e-06,0.000000000000000000e+00
2.610157215682533043e-13,4.712361886755562704e-06,0.000000000000000000e+00
5.011872336272714655e-13,4.712361865518315581e-06,0.000000000000000000e+00
9.623506263980907267e-13,4.712361823737701409e-06,0.000000000000000000e+00
1.847849797422287039e-12,4.712361743582518754e-06,0.000000000000000000e+00
3.548133892335760435e-12,4.712361589941130981e-06,0.000000000000000000e+00
6.812920690579594235e-12,4.712361300258264358e-06,0.000000000000000000e+00
1.308177474260195532e-11,4.712360753388922183e-06,0.000000000000000000e+00
2.511886431509582315e-11,4.712359750262431008e-06,0.000000000000000000e+00
4.823178482239309168e-11,4.712357850394086494e-06,0.000000000000000000e+00
9.261187281287936942e-11,4.712354458282994289e-06,0.000000000000000000e+00
1.778279410038922873e-10,4.712347245586471146e-06,0.000000000000000000e+00
3.414548873833600905e-10,4.712335229322428564e-06,0.000000000000000000e+00
6.556418494179785494e-10,4.712332960044446249e-06,0.000000000000000000e+00
1.258925411794166266e-09,4.712451480239918221e-06,0.000000000000000000e+00
2.417315480804101249e-09,4.712486418405599877e-06,0.000000000000000000e+00
4.641588833612772800e-09,4.712387492868489060e-06,0.000000000000000000e+00
8.912509381337441445e-09,4.576168041755859931e-06,0.000000000000000000e+00
1.711328304161780911e-08,4.581715297576304714e-06,0.000000000000000000e+00
3.285993247600653884e-08,4.602854927952606378e-06,0.000000000000000000e+00
6.309573444801929638e-08,4.593040803121739599e-06,0.000000000000000000e+00
1.211527658628587727e-07,4.610695753012010834e-06,0.000000000000000000e+00
2.326305067153623854e-07,4.761126865176583898e-06,0.000000000000000000e+00
4.466835921509625864e-07,4.932993299664309702e-06,0.000000000000000000e+00
8.576958985908945317e-07,5.099377344594269653e-06,0.000000000000000000e+00
1.646897865482868967e-06,6.018065971682974039e-06,0.000000000000000000e+00
3.162277660168379191e-06,8.441011865047108056e-06,0.000000000000000000e+00
6.072021956909883719e-06,1.618603333716971558e-05,0.000000000000000000e+00
1.165914401179831032e-05,4.064133950328522547e-05,0.000000000000000000e+00
2.238721138568337924e-05,1.084960382960912460e-04,0.000000000000000000e+00
4.298662347082272397e-05,2.812337441979460340e-04,0.000000000000000000e+00
8.254041852680173586e-05,6.271794675017052694e-04,0.000000000000000000e+00
1.584893192461110938e-04,1.262161524126396289e-03,0.000000000000000000e+00
3.043219887107715955e-04,2.488648890971396476e-03,0.000000000000000000e+00
5.843414133735163468e-04,5.532489329870667917e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.404722960980702567e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.636916042959016659e-02,0.000000000000000000e+00
4.136820402388511654e-03,8.525991368167161466e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.703170392620028673e-01,0.000000000000000000e+00
1.525222956539019729e-02,2.903448780353202752e-01,0.000000000000000000e+00
2.928644564625237229e-02,4.419106088703004254e-01,0.000000000000000000e+00
5.623413251903490451e-02,6.259231404482356043e-01,0.000000000000000000e+00
1.079775162327709370e-01,8.252719797487992892e-01,0.000000000000000000e+00
2.073321573485953917e-01,1.002506521342704016e+00,0.000000000000000000e+00
3.981071705534969252e-01,1.132145350873951184e+00,0.000000000000000000e+00
7.644222742525994541e-01,1.214428039142809501e+00,0.000000000000000000e+00
1.467799267622067472e+00,1.262232428352442204e+00,0.000000000000000000e+00
2.818382931264449276e+00,1.288633270419917265e+00,0.000000000000000000e+00
5.411695265464626203e+00,1.302817999794024795e+00,0.000000000000000000e+00
1.039122303835166861e+01,1.310327992600739844e+00,0.000000000000000000e+00
1.995262314968874762e+01,1.314270751199992482e+00,0.000000000000000000e+00
3.831186849557277441e+01,1.316333931516506572e+00,0.000000000000000000e+00
7.356422544596421176e+01,1.317410819078930206e+00,0.000000000000000000e+00
1.412537544622749692e+02,1.317972499634988415e+00,0.000000000000000000e+00
2.712272579332029636e+02,1.318356639897473759e+00,0.000000000000000000e+00
5.207948328595443854e+02,1.318509153106818488e+00,0.000000000000000000e+00
1.000000000000000000e+03,1.318588595027233801e+00,0.000000000000000000e+00
