# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,3.970088266196034665e-06,0.000000000000000000e+00
1.920141938638801224e-14,3.970084298678047239e-06,0.000000000000000000e+00
3.686945064519573717e-14,3.970076693832833664e-06,0.000000000000000000e+00
7.079457843841372988e-14,3.970062140668660298e-06,0.000000000000000000e+00
1.359356390878524054e-13,3.970034377944110312e-06,0.000000000000000000e+00
2.610157215682533043e-13,3.969981717394787405e-06,0.000000000000000000e+00
5.011872336272714655e-13,3.969883057460465475e-06,0.000000000000000000e+00
9.623506263980907267e-13,3.969702733159638545e-06,0.000000000000000000e+00
1.847849797422287039e-12,3.968191211259407187e-06,0.000000000000000000e+00
3.548133892335760435e-12,3.968160763562003442e-06,0.000000000000000000e+00
6.812920690579594235e-12,3.969004416003566389e-06,0.000000000000000000e+00
1.308177474260195532e-11,3.982362675897931583e-06,0.000000000000000000e+00
2.511886431509582315e-11,4.038053478142994773e-06,0.000000000000000000e+00
4.823178482239309168e-11,4.157230121214791547e-06,0.000000000000000000e+00
9.261187281287936942e-11,4.294379970731979503e-06,0.000000000000000000e+00
1.778279410038922873e-10,4.351316773848851444e-06,0.000000000000000000e+00
3.414548873833600905e-10,4.505221874504009187e-06,0.000000000000000000e+00
6.556418494179785494e-10,4.964384538406326667e-06,0.000000000000000000e+00
1.258925411794166266e-09,6.350231469629980233e-06,0.000000000000000000e+00
2.417315480804101249e-09,1.005588892548000944e-05,0.000000000000000000e+00
4.641588833612772800e-09,1.802399249631054306e-05,0.000000000000000000e+00
8.912509381337441445e-09,3.137562850854385825e-05,0.000000000000000000e+00
1.711328304161780911e-08,5.178244603281516084e-05,0.000000000000000000e+00
3.285993247600653884e-08,8.486050356670660048e-05,0.000000000000000000e+00
6.309573444801929638e-08,1.643233797726494636e-04,0.000000000000000000e+00
1.211527658628587727e-07,4.084805241583954719e-04,0.000000000000000000e+00
2.326305067153623854e-07,1.207276442462555058e-03,0.000000000000000000e+00
4.466835921509625864e-07,3.688813113129621110e-03,0.000000000000000000e+00
8.576958985908945317e-07,1.050055282965004985e-02,0.000000000000000000e+00
1.646897865482868967e-06,2.597323216403274460e-02,0.000000000000000000e+00
3.162277660168379191e-06,5.532588745120256557e-02,0.000000000000000000e+00
6.072021956909883719e-06,1.000892511522935985e-01,0.000000000000000000e+00
1.165914401179831032e-05,1.586002958421011688e-01,0.000000000000000000e+00
2.238721138568337924e-05,2.307205236384583247e-01,0.000000000000000000e+00
4.298662347082272397e-05,3.280060981941468334e-01,0.000000000000000000e+00
8.254041852680173586e-05,4.669254006171531524e-01,0.000000000000000000e+00
1.584893192461110938e-04,6.112218431345515235e-01,0.000000000000000000e+00
3.043219887107715955e-04,7.380832589658675724e-01,0.000000000000000000e+00
5.843414133735163468e-04,8.329238976773074565e-01,0.000000000000000000e+00
1.122018454301960651e-03,8.947244577897955908e-01,0.000000000000000000e+00
2.154434690031877767e-03,9.313293543167534549e-01,0.000000000000000000e+00
4.136820402388511654e-03,9.517869226271666871e-01,0.000000000000000000e+00
7.943282347242820729e-03,9.628629784250299917e-01,0.000000000000000000e+00
1.525222956539019729e-02,9.687453421945635412e-01,0.000000000000000000e+00
2.928644564625237229e-02,9.718413384545607769e-01,0.000000000000000000e+00
5.623413251903490451e-02,9.734640676841057605e-01,0.000000000000000000e+00
1.079775162327709370e-01,9.743103696812276393e-01,0.000000000000000000e+00
2.073321573485953917e-01,9.747511522358380809e-01,0.000000000000000000e+00
3.981071705534969252e-01,9.749813520138334022e-01,0.000000000000000000e+00
7.644222742525994541e-01,9.751012738583293427e-01,0.000000000000000000e+00
1.467799267622067472e+00,9.751642082683040780e-01,0.000000000000000000e+00
2.818382931264449276e+00,9.751959747454674865e-01,0.000000000000000000e+00
5.411695265464626203e+00,9.752132500382465485e-01,0.000000000000000000e+00
1.039122303835166861e+01,9.752222807449533182e-01,0.000000000000000000e+00
1.995262314968874762e+01,9.752266693375669648e-01,0.000000000000000000e+00
3.831186849557277441e+01,9.752291639955751323e-01,0.000000000000000000e+00
7.356422544596421176e+01,9.752303096600190013e-01,0.000000000000000000e+00
1.412537544622749692e+02,9.752310045392504900e-01,0.000000000000000000e+00
2.712272579332029636e+02,9.752312991679811249e-01,0.000000000000000000e+00
5.207948328595443854e+02,9.752314780933062366e-01,0.000000000000000000e+00
1.000000000000000000e+03,9.752315673582634403e-01,0.000000000000000000e+00
