# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.572059221877147522e-06,0.000000000000000000e+00
1.920141938638801224e-14,4.572059209589492972e-06,0.000000000000000000e+00
3.686945064519573717e-14,4.572059185996646376e-06,0.000000000000000000e+00
7.079457843841372988e-14,4.572059140694512208e-06,0.000000000000000000e+00
1.359356390878524054e-13,4.572059053713542499e-06,0.000000000000000000e+00
2.610157215682533043e-13,4.572058886711008735e-06,0.000000000000000000e+00
5.011872336272714655e-13,4.572058566094680991e-06,0.000000000000000000e+00
9.623506263980907267e-13,4.572057950662538962e-06,0.000000000000000000e+00
1.847849797422287039e-12,4.572056769665739109e-06,0.000000000000000000e+00
3.548133892335760435e-12,4.572054504641630794e-06,0.000000000000000000e+00
6.812920690579594235e-12,4.572050165281415035e-06,0.000000000000000000e+00
1.308177474260195532e-11,4.572041869346736921e-06,0.000000000000000000e+00
2.511886431509582315e-11,4.572026074208450518e-06,0.000000000000000000e+00
4.823178482239309168e-11,4.571996243828541842e-06,0.000000000000000000e+00
9.261187281287936942e-11,4.571940823272459765e-06,0.000000000000000000e+00
1.778279410038922873e-10,4.571841333569168778e-06,0.000000000000000000e+00
3.414548873833600905e-10,4.571675678947020810e-06,0.000000000000000000e+00
6.556418494179785494e-10,4.571444639776941617e-06,0.000000000000000000e+00
1.258925411794166266e-09,4.571238427359832422e-06,0.000000000000000000e+00
2.417315480804101249e-09,4.571294507004831738e-06,0.000000000000000000e+00
4.641588833612772800e-09,4.571721583611710085e-06,0.000000000000000000e+00
8.912509381337441445e-09,4.572971955181139799e-06,0.000000000000000000e+00
1.711328304161780911e-08,4.574036457433624290e-06,0.000000000000000000e+00
3.285993247600653884e-08,4.576588721309686681e-06,0.000000000000000000e+00
6.309573444801929638e-08,4.586402307668919539e-06,0.000000000000000000e+00
1.211527658628587727e-07,4.612781034878767601e-06,0.000000000000000000e+00
2.326305067153623854e-07,4.685810252568159648e-06,0.000000000000000000e+00
4.466835921509625864e-07,4.854783036993895293e-06,0.000000000000000000e+00
8.576958985908945317e-07,5.190115858230372851e-06,0.000000000000000000e+00
1.646897865482868967e-06,5.915813012996970854e-06,0.000000000000000000e+00
3.162277660168379191e-06,7.904017521869735521e-06,0.000000000000000000e+00
6.072021956909883719e-06,1.418909396809737105e-05,0.000000000000000000e+00
1.165914401179831032e-05,3.395619014886386316e-05,0.000000000000000000e+00
2.238721138568337924e-05,9.067151459159973246e-05,0.000000000000000000e+00
4.298662347082272397e-05,2.309892041022527519e-04,0.000000000000000000e+00
8.254041852680173586e-05,5.242793897276441448e-04,0.000000000000000000e+00
1.584893192461110938e-04,1.084403292201918754e-03,0.000000000000000000e+00
3.043219887107715955e-04,2.281611153110080399e-03,0.000000000000000000e+00
5.843414133735163468e-04,5.456226259755756619e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.454514739477060642e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.846015905497943144e-02,0.000000000000000000e+00
4.136820402388511654e-03,9.081694664735091849e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.815528202179660378e-01,0.000000000000000000e+00
1.525222956539019729e-02,3.092722908456744246e-01,0.000000000000000000e+00
2.928644564625237229e-02,4.718885388515641766e-01,0.000000000000000000e+00
5.623413251903490451e-02,6.711962618551894355e-01,0.000000000000000000e+00
1.079775162327709370e-01,8.879878307597338649e-01,0.000000000000000000e+00
2.073321573485953917e-01,1.080538656357443728e+00,0.000000000000000000e+00
3.981071705534969252e-01,1.221103501779655653e+00,0.000000000000000000e+00
7.644222742525994541e-01,1.310146057413442922e+00,0.000000000000000000e+00
1.467799267622067472e+00,1.361808677186882921e+00,0.000000000000000000e+00
2.818382931264449276e+00,1.390320304271262630e+00,0.000000000000000000e+00
5.411695265464626203e+00,1.405631515624966132e+00,0.000000000000000000e+00
1.039122303835166861e+01,1.413734980182968171e+00,0.000000000000000000e+00
1.995262314968874762e+01,1.417990922066979076e+00,0.000000000000000000e+00
3.831186849557277441e+01,1.420217161185408861e+00,0.000000000000000000e+00
7.356422544596421176e+01,1.421379235926778284e+00,0.000000000000000000e+00
1.412537544622749692e+02,1.421985161854475210e+00,0.000000000000000000e+00
2.712272579332029636e+02,1.422300921394418660e+00,0.000000000000000000e+00
5.207948328595443854e+02,1.422465420646912504e+00,0.000000000000000000e+00
1.000000000000000000e+03,1.422551105473458755e+00,0.000000000000000000e+00
