# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,3.046869860805338615e+00
2.190888928048092144e-03,3.136229412367651292e+00
3.286333392072138000e-03,3.226413452673878357e+00
4.381777856096184288e-03,3.317345723426651016e+00
5.477222320120230144e-03,3.408947431513065229e+00
6.572666784144275999e-03,3.501137432209683542e+00
7.668111248168322722e-03,3.593832421898009333e+00
8.763555712192368577e-03,3.686947139214876490e+00
9.859000176216414432e-03,3.780394573507060318e+00
1.095444464024046029e-02,3.874086179412546738e+00
1.204988910426450614e-02,3.967932096356874272e+00
1.314533356828855200e-02,4.061841371729758343e+00
1.424077803231259785e-02,4.155722186496616288e+00
1.533622249633664544e-02,4.249482082000043626e+00
1.643166696036068783e-02,4.343028186718878025e+00
1.752711142438473715e-02,4.436267441775062714e+00
1.862255588840878301e-02,4.529106824014765387e+00
1.971800035243282886e-02,4.621453565532063656e+00
2.081344481645687472e-02,4.713215368559153795e+00
2.190888928048092057e-02,4.804300614708456152e+00
2.300433374450496643e-02,4.894618567621533245e+00
2.409977820852901229e-02,4.984079568156815299e+00
2.519522267255305814e-02,5.072595221328890958e+00
2.629066713657710400e-02,5.160078574298895937e+00
2.738611160060114985e-02,5.246444284804717029e+00
2.848155606462519571e-02,5.331608779510748519e+00
2.957700052864924503e-02,5.415490401849703872e+00
3.067244499267329089e-02,5.498009549021019460e+00
3.176788945669733327e-02,5.579088797901961883e+00
3.286333392072137566e-02,5.658653019716012089e+00
3.395877838474542498e-02,5.736629483390204065e+00
3.505422284876947431e-02,5.812947947614683031e+00
3.614966731279351669e-02,5.887540741697001145e+00
3.724511177681756602e-02,5.960342835374869530e+00
3.834055624084160840e-02,6.031291897821891013e+00
3.943600070486565773e-02,6.100328346138304880e+00
4.053144516888970011e-02,6.167395383678162979e+00
4.162688963291374944e-02,6.232439028611068466e+00
4.272233409693779183e-02,6.295408133160150577e+00
4.381777856096184115e-02,6.356254393994006158e+00
4.491322302498588354e-02,6.414932354279927473e+00
4.600866748900993286e-02,6.471399397929260111e+00
4.710411195303397525e-02,6.525615736582908610e+00
4.819955641705802457e-02,6.577544389896866406e+00
4.929500088108207390e-02,6.627151159693627669e+00
5.039044534510611628e-02,6.674404598545855549e+00
5.148588980913015867e-02,6.719275973355717468e+00
5.258133427315420799e-02,6.761739224484508703e+00
5.367677873717825038e-02,6.801770920975580559e+00
5.477222320120229970e-02,6.839350212397882878e+00
5.586766766522634903e-02,6.874458777819367761e+00
5.696311212925039141e-02,6.907080772398106916e+00
5.805855659327444074e-02,6.937202772055909072e+00
5.915400105729849006e-02,6.964813716674353117e+00
